datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2023-11-23 09:00:00,3,220.3,0.56,2.03,113.01,1.06,6.25,25.26,0.82,15.1645,5.463214,-23.3355,0.0,839.6842,7.9932976,277.76508,667,Quetta
2022-07-19 18:00:00,4,236.99,0.0,3.04,35.05,1.43,29.0,44.13,0.21,31.1,73.0,25.7,0.0,999.5,6.86,224.0,236,Karachi
2022-10-08 23:00:00,5,1348.5,0.92,24.33,4.87,4.71,97.25,113.73,8.61,23.4,84.0,20.5,0.0,984.4,11.5,166.0,0,Lahore
2023-03-21 08:00:00,5,961.3,0.89,10.45,177.38,22.65,78.12,83.03,8.87,17.2,86.0,14.8,0.0,984.8,7.2,96.0,195,Lahore
2021-12-26 11:00:00,5,1348.5,0.62,24.68,71.53,10.73,199.39,214.21,11.15,15.0,84.0,12.2,0.0,993.2,2.7,203.0,281,Lahore
2021-12-03 16:00:00,5,974.66,0.0,32.22,45.42,5.96,56.4,75.59,12.67,9.8645,32.10063,-6.0355,0.0,839.61523,6.5693827,170.53775,0,Quetta
2024-03-29 05:00:00,2,574.11,5.87,12.34,57.22,1.8,15.47,23.53,8.74,16.8645,64.22391,10.0645,0.0,838.0472,14.33234,154.72232,608,Quetta
2024-02-27 04:00:00,3,1001.36,1.93,27.76,98.71,14.9,49.47,64.19,12.29,18.8,52.0,8.7,0.0,1014.6,7.37,42.0,0,Karachi
2023-01-18 02:00:00,5,4539.49,51.86,60.32,0.0,10.25,340.7,411.43,16.72,5.7,78.0,2.2,0.0,991.1,6.8,302.0,0,Lahore
2023-12-30 21:00:00,5,1201.63,0.0,20.73,81.54,11.68,141.02,184.14,13.43,22.2,36.0,6.4,0.0,1015.0,1.24,76.0,0,Karachi
2023-08-03 03:00:00,5,2590.18,50.96,44.55,8.31,20.03,90.75,128.2,10.26,25.1,100.0,25.1,3.0,973.6,13.2,151.0,0,Lahore
2024-03-25 01:00:00,4,1508.71,0.05,52.78,23.25,9.78,54.87,84.33,135.78,15.9,47.0,4.6,0.0,975.0,5.1,225.0,0,Peshawar
2022-02-26 19:00:00,5,4913.33,40.23,123.38,0.0,14.66,246.75,299.38,78.02,13.1,56.0,4.5,0.0,980.9,4.3,5.0,0,Peshawar
2024-05-25 12:00:00,4,500.68,0.94,15.25,158.79,12.99,28.8,64.49,5.51,40.6,20.0,12.9,0.0,976.6,13.5,318.0,850,Lahore
2023-05-07 06:00:00,3,353.81,1.66,6.0,68.66,3.22,21.72,66.79,1.5,26.8,86.0,24.3,0.0,1006.7,2.26,257.0,0,Karachi
2023-11-30 14:00:00,5,4325.87,64.37,95.96,0.0,16.93,168.2,209.68,38.0,15.0,81.0,11.8,0.0,978.5,3.6,315.0,0,Peshawar
2023-03-29 04:00:00,5,3017.43,36.66,74.03,26.82,16.21,137.16,158.6,69.92,15.9,62.0,8.6,0.0,950.7,4.0,10.0,0,Islamabad
2022-03-19 19:00:00,5,3845.21,76.89,68.55,0.0,14.19,123.97,170.1,112.47,26.1,39.0,11.0,0.0,945.7,8.1,291.0,2,Islamabad
2022-05-05 00:00:00,4,1695.63,1.51,63.75,7.78,4.71,45.7,55.05,14.57,23.1,46.0,10.8,0.0,949.9,9.4,342.0,0,Islamabad
2022-12-13 21:00:00,5,1161.58,0.0,36.33,39.7,12.28,72.89,96.29,21.53,6.8645,40.094883,-5.7855,0.0,839.2923,3.671294,168.69011,0,Quetta
2022-09-25 10:00:00,5,821.11,0.3,4.97,183.11,6.44,107.06,131.27,11.78,32.2,43.0,18.1,0.0,962.2,10.5,38.0,621,Peshawar
2023-03-23 11:00:00,2,277.04,0.12,1.78,80.82,1.73,4.21,6.77,1.28,12.4145,71.06378,7.3145,0.7,830.4176,9.007196,182.29056,184,Quetta
2023-09-17 07:00:00,5,894.55,0.78,7.8,211.72,14.78,66.64,74.19,7.09,24.0,86.0,21.5,0.2,947.7,3.8,17.0,51,Islamabad
2023-08-06 19:00:00,4,654.22,0.0,12.0,75.1,5.01,51.45,63.09,5.26,31.5,66.0,24.3,0.1,939.3,8.4,121.0,34,Islamabad
2023-06-30 14:00:00,5,6248.47,39.79,307.08,11.27,30.99,111.8,121.09,33.44,33.1,53.0,22.2,0.0,942.0,6.2,201.0,843,Islamabad
2024-05-23 20:00:00,3,534.06,0.0,23.65,80.82,5.3,26.69,79.36,13.05,23.7645,20.678495,-0.08549994,0.0,834.22345,6.28713,156.3706,0,Quetta
